Event Type,Attendees,Expenses,Success
Seminars,630,37085,1
Sports,1110,91990,1
Seminars,316,33620,1
Seminars,492,121529,1
Sports,1104,118882,1
Sports,644,67381,1
Seminars,1321,164705,1
Seminars,709,31277,0
Sports,874,135603,1
Cultural,212,49751,1
Sports,701,91289,1
Sports,1187,32747,0
Cultural,1270,50171,0
Sports,211,45009,1
Sports,317,72375,1
Seminars,320,12636,0
Seminars,301,24581,1
Sports,1480,65806,0
Sports,389,3441,0
Seminars,1369,103665,1
Sports,234,31346,1
Sports,413,33843,1
Sports,521,8476,0
Cultural,1465,129489,1
Seminars,217,22565,1
Cultural,920,81109,1
Seminars,408,98218,1
Seminars,306,36635,1
Seminars,1227,193260,1
Sports,643,67172,1
Cultural,677,151038,1
Seminars,166,25663,1
Cultural,551,81445,1
Seminars,1328,167963,1
Cultural,113,17442,1
Sports,1032,18263,0
Sports,299,16191,1
Sports,114,19582,1
Seminars,342,77864,1
Cultural,652,55400,1
Seminars,1486,142895,1
Seminars,1277,183539,1
Cultural,841,170417,1
Sports,1490,240114,1
Cultural,625,32287,1
Sports,770,49317,1
Seminars,533,110069,1
Cultural,1403,43481,0
Seminars,1019,198913,1
Seminars,950,228371,1
Cultural,1443,232941,1
Sports,573,138860,1
Seminars,288,13460,0
Cultural,1311,239521,1
Cultural,1130,105754,1
Cultural,957,99947,1
Sports,395,6603,0
Cultural,316,41323,1
Seminars,1126,88565,1
Seminars,1168,63731,1
Sports,211,32521,1
Seminars,825,165930,1
Seminars,476,45694,1
Seminars,1427,243227,1
Sports,1110,175316,1
Sports,1212,50656,0
Sports,169,15788,1
Cultural,1082,162778,1
Cultural,1421,224978,1
Cultural,1255,51492,0
Cultural,1413,232474,1
Cultural,469,4052,0
Sports,454,38001,1
Seminars,957,154146,1
Seminars,124,27019,1
Sports,950,168371,1
Cultural,1390,35240,0
Seminars,1334,203568,1
Sports,1418,239843,1
Seminars,432,3091,0
Cultural,746,37388,1
Sports,520,111775,1
Sports,1431,183411,1
Sports,1279,44879,0
Sports,845,168179,1
Sports,896,127456,1
Sports,1443,43652,0
Cultural,1012,49918,0
Sports,820,57045,1
Sports,1170,86414,1
Sports,1418,83257,1
Seminars,1293,157360,1
Cultural,1163,159877,1
Cultural,281,55764,1
Cultural,662,18450,0
Seminars,1193,5593,0
Cultural,1465,28993,0
Seminars,271,31660,1
Sports,423,2223,0
Sports,286,41443,1
Seminars,765,100915,1
Seminars,176,18505,1
Cultural,911,141767,1
Sports,951,157689,1
Seminars,1373,238901,1
Sports,177,22903,1
Sports,885,72748,1
Sports,703,142756,1
Cultural,897,192227,1
Seminars,1449,22768,0
Seminars,839,157896,1
Cultural,274,14487,1
Sports,1423,12995,0
Cultural,1287,232250,1
Sports,624,154077,1
Seminars,1308,74883,1
Seminars,880,103481,1
Cultural,961,182441,1
Sports,487,108470,1
Seminars,934,19364,0
Seminars,786,143357,1
Sports,1181,29640,0
Seminars,1421,90343,1
Seminars,1289,58047,0
Seminars,1269,80507,1
Sports,1216,216556,1
Seminars,917,5194,0
Cultural,369,2767,0
Cultural,1495,236415,1
Seminars,1227,153129,1
Seminars,527,65124,1
Seminars,1093,32243,0
Sports,1079,5220,0
Sports,474,77871,1
Seminars,641,87159,1
Seminars,1166,175928,1
Seminars,243,12815,1
Cultural,1212,142264,1
Seminars,316,4508,0
Cultural,1319,128770,1
Sports,375,60359,1
Cultural,156,24341,1
Sports,1270,92461,1
Sports,144,29935,1
Sports,932,190616,1
Sports,1131,61384,1
Sports,1141,241856,1
Seminars,874,118075,1
Seminars,219,40807,1
Sports,963,12176,0
Sports,166,7201,0
Sports,637,148532,1
Sports,469,39263,1
Cultural,178,31902,1
Cultural,1346,122118,1
Seminars,541,101034,1
Seminars,1272,21297,0
Sports,883,118583,1
Seminars,197,37048,1
Cultural,928,39162,0
Cultural,1134,237122,1
Sports,278,14207,1
Sports,1144,14284,0
Sports,687,120535,1
Cultural,1147,89701,1
Seminars,402,33154,1
Sports,215,13308,1
Sports,741,66066,1
Seminars,582,28981,0
Seminars,1417,85840,1
Cultural,393,3970,0
Cultural,221,15182,1
Seminars,594,78278,1
Sports,364,42746,1
Cultural,1262,71579,1
Sports,1259,219846,1
Cultural,1139,125930,1
Seminars,1155,197258,1
Cultural,433,108242,1
Seminars,237,34882,1
Cultural,1483,134972,1
Seminars,216,40030,1
Sports,1087,180533,1
Cultural,619,113845,1
Cultural,611,12185,0
Seminars,780,57102,1
Sports,1022,93759,1
Cultural,1403,132055,1
Seminars,1008,154088,1
Cultural,1389,208711,1
Sports,624,15746,0
Cultural,126,27944,1
Seminars,391,11361,0
Cultural,404,13850,0
Cultural,638,123651,1
Cultural,1156,92052,1
Sports,239,24147,1
Seminars,951,67690,1
Cultural,801,88262,1
Seminars,710,119939,1
Sports,157,5898,0
Cultural,914,221725,1
Cultural,1331,107547,1
Sports,986,54597,1
Sports,1452,231467,1
Cultural,623,72550,1
Sports,1053,225171,1
Seminars,1457,222160,1
Cultural,636,130491,1
Seminars,1258,177671,1
Cultural,286,34491,1
Cultural,541,11337,0
Sports,1213,138326,1
Sports,645,96972,1
Seminars,513,64178,1
Sports,507,79593,1
Cultural,724,118750,1
Sports,154,27423,1
Seminars,809,182011,1
Seminars,1471,9317,0
Sports,788,97894,1
Seminars,1085,105860,1
Seminars,1350,197039,1
Sports,278,63329,1
Seminars,1329,31809,0
Seminars,1259,98988,1
Sports,1070,145283,1
Cultural,1155,141796,1
Sports,307,12504,0
Cultural,853,128815,1
Cultural,524,83112,1
Cultural,1278,12315,0
Seminars,991,64384,1
Sports,482,109436,1
Cultural,862,181375,1
Cultural,985,125088,1
Seminars,852,95328,1
Cultural,1278,184701,1
Cultural,431,18401,0
Cultural,1112,80754,1
Cultural,1205,10399,0
Sports,169,10793,1
Seminars,1184,26641,0
Sports,255,2433,0
Cultural,457,55986,1
Cultural,1040,129527,1
Seminars,878,152951,1
Seminars,1422,77369,1
Seminars,542,41594,1
Seminars,1432,53179,0
Sports,913,72723,1
Seminars,185,24815,1
Cultural,1077,142957,1
Sports,942,49979,1
Sports,197,27026,1
Cultural,819,97710,1
Cultural,327,11210,0
Cultural,1393,221970,1
Sports,1486,10819,0
Cultural,587,83801,1
Seminars,802,113323,1
Seminars,1317,63055,0
Seminars,254,44353,1
Cultural,385,26151,1
Cultural,1453,128442,1
Cultural,1088,175471,1
Sports,1443,89586,1
Sports,1315,249614,1
Seminars,166,5702,0
Seminars,1339,244923,1
Cultural,1195,84984,1
Sports,1213,67694,1
Seminars,1199,102906,1
Seminars,1095,109533,1
Seminars,1207,10401,0
Cultural,1343,166493,1
Cultural,336,29403,1
Sports,555,28905,1
Sports,155,35685,1
Seminars,370,69476,1
Seminars,710,58275,1
Seminars,641,8864,0
Cultural,157,18162,1
Cultural,1005,149171,1
Seminars,1393,9236,0
Cultural,236,53612,1
Seminars,1493,102273,1
Cultural,1387,91851,1
Seminars,506,76400,1
Cultural,222,41407,1
Seminars,205,30356,1
Cultural,460,47432,1
Cultural,1125,115289,1
Cultural,962,198397,1
Cultural,631,127320,1
Sports,813,33554,0
Sports,463,95872,1
Cultural,1109,16750,0
Seminars,783,149763,1
Cultural,1479,99071,1
Cultural,1309,175838,1
Sports,132,26256,1
Sports,284,50727,1
Cultural,253,22671,1
Cultural,952,115067,1
Cultural,411,48857,1
Sports,1147,113478,1
Seminars,300,68275,1
Sports,800,54663,1
Cultural,966,219512,1
Cultural,1298,205081,1
Cultural,1408,149561,1
Cultural,359,42548,1
Sports,836,135456,1
Sports,1365,55579,0
Cultural,919,91820,1
Seminars,1022,206188,1
Sports,441,58628,1
Cultural,1131,105866,1
Cultural,990,46523,0
Sports,613,124325,1
Cultural,1483,46613,0
Seminars,440,17249,0
Cultural,128,17883,1
Sports,419,34414,1
Seminars,1265,238539,1
Cultural,949,16710,0
Seminars,917,155638,1
Seminars,357,2751,0
Seminars,983,8137,0
Sports,148,20821,1
Cultural,232,39350,1
Sports,1259,2835,0
Seminars,217,23277,1
Seminars,605,127468,1
Sports,1308,207858,1
Cultural,634,140901,1
Cultural,1471,126802,1
Seminars,1000,66292,1
Seminars,669,149736,1
Seminars,1283,201058,1
Seminars,467,29817,1
Sports,1240,199796,1
Cultural,364,56786,1
Seminars,356,23165,1
Seminars,289,23129,1
Seminars,1063,145246,1
Cultural,1279,173093,1
Seminars,401,35443,1
Sports,1069,152702,1
Sports,1414,74638,1
Sports,530,106610,1
Cultural,1448,13095,0
Cultural,622,131705,1
Sports,1055,58630,1
Sports,871,85897,1
Sports,898,46191,1
Sports,487,84112,1
Cultural,536,129083,1
Cultural,1154,72046,1
Cultural,228,37904,1
Seminars,581,91279,1
Seminars,1037,182597,1
Sports,974,156506,1
Sports,475,94542,1
Cultural,290,18341,1
Seminars,1457,232282,1
Seminars,1335,143513,1
Sports,532,87393,1
Cultural,1061,227804,1
Cultural,258,53311,1
Seminars,1146,197052,1
Sports,123,28753,1
Cultural,1133,13509,0
Seminars,626,84140,1
Cultural,634,29688,0
Seminars,873,148786,1
Seminars,1131,33356,0
Cultural,338,76055,1
Sports,373,6551,0
Seminars,845,55656,1
Cultural,576,108233,1
Seminars,692,92884,1
Cultural,896,175942,1
Seminars,172,20293,1
Cultural,369,87429,1
Sports,873,202471,1
Cultural,1007,67028,1
Sports,1070,109600,1
Seminars,244,13167,1
Sports,229,50225,1
Sports,217,32083,1
Cultural,474,75795,1
Cultural,1228,235244,1
Sports,659,38664,1
Cultural,1395,247541,1
Seminars,509,80889,1
Seminars,387,65486,1
Seminars,384,17013,0
Sports,1473,123978,1
Seminars,866,172871,1
Sports,862,72298,1
Cultural,1104,61985,1
Sports,1245,86991,1
Cultural,1080,170139,1
Cultural,550,101550,1
Sports,456,59842,1
Seminars,906,89457,1
Cultural,469,78494,1
Sports,276,45733,1
Seminars,180,34175,1
Sports,609,42634,1
Sports,1310,118937,1
Seminars,570,94636,1
Cultural,1159,89921,1
Seminars,1275,45292,0
Cultural,444,28607,1
Cultural,1041,228885,1
Cultural,1124,152468,1
Seminars,1190,72409,1
Sports,108,6338,1
Sports,904,78847,1
Cultural,659,29967,0
Seminars,213,52677,1
Seminars,757,94661,1
Cultural,726,91360,1
Seminars,799,25244,0
Seminars,1229,138160,1
Seminars,380,31259,1
Sports,218,53032,1
Seminars,1124,33475,0
Seminars,216,13099,1
Cultural,778,17287,0
Cultural,323,8336,0
Seminars,479,32691,1
Cultural,434,9995,0
Cultural,678,148441,1
Seminars,1096,231856,1
Seminars,1372,75029,1
Cultural,1279,63387,0
Cultural,1285,6332,0
Cultural,1109,157211,1
Cultural,1389,172282,1
Sports,1045,82245,1
Seminars,552,60480,1
Cultural,986,217134,1
Sports,1064,245487,1
Sports,423,29227,1
Seminars,908,49533,1
Cultural,723,73366,1
Sports,473,56216,1
Seminars,120,15872,1
Cultural,820,120821,1
Sports,342,39345,1
Sports,573,85716,1
Seminars,1335,106070,1
Cultural,143,33994,1
Cultural,125,11634,1
Sports,1273,31121,0
Cultural,472,57096,1
Seminars,276,5392,0
Seminars,841,121872,1
Cultural,210,45952,1
Sports,825,77595,1
Seminars,1477,236442,1
Seminars,1489,170495,1
Cultural,907,132725,1
Seminars,538,84334,1
Cultural,1113,138461,1
Sports,120,22256,1
Cultural,1416,138956,1
Cultural,1145,239743,1
Seminars,379,64604,1
Seminars,181,22523,1
Seminars,641,85323,1
Cultural,866,45550,1
Sports,203,38846,1
Cultural,908,130027,1
Cultural,224,2368,0
Cultural,176,12962,1
Sports,145,2239,0
Sports,1163,110209,1
Seminars,583,74139,1
Seminars,716,150871,1
Seminars,257,57487,1
Cultural,781,179896,1
Seminars,892,156627,1
Cultural,202,31533,1
Seminars,1259,162340,1
Cultural,1084,8247,0
Seminars,222,49400,1
Cultural,884,138182,1
Seminars,1021,225649,1
Cultural,1289,26462,0
Seminars,369,67156,1
Seminars,1438,3051,0
Cultural,777,38623,0
Seminars,1207,170162,1
Cultural,237,33238,1
Sports,1424,59813,0
Seminars,1325,194399,1
Cultural,180,14075,1
Seminars,1443,118057,1
Seminars,1286,203602,1
Cultural,1045,25238,0
Sports,289,42229,1
Sports,1444,105768,1
Cultural,1382,9448,0
Seminars,446,84383,1
Sports,1086,117868,1
Seminars,1461,123760,1
Cultural,350,74191,1
Cultural,580,88954,1
Sports,1405,213953,1
Sports,144,21090,1
Cultural,441,89610,1
Sports,703,81332,1
Seminars,241,28946,1
Cultural,372,23104,1
Sports,450,3848,0
Cultural,433,79471,1
Sports,1335,205299,1
Seminars,1500,199115,1
Cultural,330,18884,1
Seminars,774,53925,1
Cultural,576,90532,1
Seminars,245,47195,1
Sports,588,48643,1
Sports,605,142109,1
Sports,383,36084,1
Sports,1159,34163,0
Cultural,892,37815,0
Sports,1481,17133,0
Seminars,203,9273,0
Sports,555,74157,1
Sports,952,47041,0
Seminars,1495,231526,1
Seminars,1058,43625,0
Seminars,1155,204082,1
Seminars,520,34260,1
Seminars,1264,30154,0
Cultural,1383,175566,1
Cultural,1417,152559,1
Cultural,774,67478,1
Cultural,668,86311,1
Seminars,554,75463,1
Cultural,1030,189359,1
Sports,704,51138,1
Sports,1264,189480,1
Seminars,835,202091,1
Sports,866,184101,1
Cultural,1008,166622,1
Cultural,173,37336,1
Cultural,118,8556,1
Sports,1270,24556,0
Seminars,1249,239658,1
Cultural,1339,69785,1
Cultural,207,48977,1
Seminars,1434,186951,1
Cultural,1252,69883,1
Cultural,844,139873,1
Seminars,1488,195817,1
Seminars,615,111292,1
Cultural,1435,60359,0
Sports,463,42454,1
Cultural,1269,171272,1
Sports,177,15273,1
Cultural,850,14851,0
Seminars,630,103555,1
Seminars,984,219728,1
Sports,250,37663,1
Cultural,369,27538,1
Sports,743,28546,0
Seminars,774,65005,1
Cultural,1368,77200,1
Sports,468,28731,1
Cultural,293,59207,1
Cultural,1031,108361,1
Seminars,1448,135865,1
Cultural,1059,241186,1
Sports,644,154996,1
Seminars,665,162862,1
Cultural,424,61563,1
Cultural,1271,207344,1
Cultural,1393,60123,0
Seminars,1242,50084,0
Sports,521,81449,1
Sports,777,183620,1
Cultural,562,61164,1
Sports,220,36058,1
Cultural,944,35620,0
Sports,348,71216,1
Cultural,110,6953,1
Cultural,1132,179602,1
Sports,1178,147967,1
Seminars,117,3608,0
Sports,839,15914,0
Sports,146,24960,1
Cultural,524,74614,1
Seminars,801,85562,1
Cultural,1069,20638,0
Seminars,380,72634,1
Seminars,1403,15813,0
Sports,672,118764,1
Cultural,813,128006,1
Sports,1004,19622,0
Cultural,1040,80436,1
Sports,352,27389,1
Seminars,156,34746,1
Sports,676,9244,0
Cultural,158,7789,0
Sports,526,50118,1
Cultural,730,59895,1
Seminars,493,68740,1
Seminars,309,26946,1
Sports,1007,54635,1
Seminars,1367,56690,0
Sports,723,3657,0
Seminars,1061,63765,1
Seminars,1248,20136,0
Sports,1431,139741,1
Sports,1167,46345,0
Seminars,293,64372,1
Cultural,724,117565,1
Cultural,690,163129,1
Cultural,1351,81160,1
Cultural,1221,169586,1
Sports,1032,127075,1
Seminars,520,38488,1
Seminars,1363,111210,1
Seminars,605,106141,1
Sports,617,18895,0
Cultural,650,132176,1
Sports,1436,62242,0
Seminars,1417,192191,1
Cultural,864,163763,1
Seminars,980,209416,1
Sports,482,50210,1
Cultural,605,81575,1
Sports,677,41094,1
Seminars,345,66917,1
Sports,1418,211540,1
Cultural,642,115992,1
Sports,155,15838,1
Cultural,1065,86914,1
Cultural,1343,245701,1
Seminars,698,33981,0
Cultural,1416,165728,1
Cultural,621,96590,1
Cultural,1242,79494,1
Seminars,161,8482,1
Cultural,1113,72974,1
Seminars,719,141197,1
Sports,1261,169137,1
Cultural,320,73776,1
Cultural,1057,177146,1
Cultural,449,25326,1
Cultural,171,36177,1
Cultural,736,109812,1
Sports,490,66658,1
Sports,673,161888,1
Seminars,633,84866,1
Cultural,405,46577,1
Sports,1466,163773,1
Sports,1197,227364,1
Cultural,123,16667,1
Cultural,691,29285,0
Seminars,753,105217,1
Seminars,315,58336,1
Sports,480,6941,0
Cultural,679,143844,1
Sports,227,41197,1
Seminars,1164,245968,1
Sports,817,92251,1
Sports,128,21199,1
Seminars,552,59882,1
Seminars,1051,153919,1
Cultural,1485,25484,0
Sports,1046,14300,0
Seminars,846,211449,1
Sports,1189,174248,1
Sports,836,41335,0
Seminars,826,79152,1
Cultural,655,129567,1
Cultural,655,112931,1
Seminars,1441,165972,1
Sports,1447,3872,0
Seminars,220,16996,1
Cultural,1350,60232,0
Sports,572,43704,1
Seminars,177,25705,1
Sports,371,56258,1
Seminars,1293,130429,1
Cultural,758,71382,1
Seminars,787,125005,1
Sports,1018,228092,1
Seminars,1124,146918,1
Seminars,1424,34936,0
Cultural,1311,40659,0
Seminars,222,43469,1
Cultural,1476,242589,1
Seminars,212,38916,1
Seminars,1190,193902,1
Seminars,362,32762,1
Cultural,388,42331,1
Seminars,700,160737,1
Cultural,911,90701,1
Sports,479,109743,1
Sports,951,93021,1
Seminars,737,145177,1
Seminars,1487,38909,0
Cultural,1221,125352,1
Cultural,100,3516,0
Cultural,859,175001,1
Seminars,444,82582,1
Seminars,737,172296,1
Seminars,295,54616,1
Seminars,1283,198172,1
Cultural,620,129070,1
Cultural,502,105444,1
Cultural,279,33508,1
Cultural,1178,220459,1
Sports,685,89134,1
Sports,1242,240417,1
Cultural,1060,118536,1
Seminars,654,107868,1
Sports,825,109311,1
Seminars,149,16297,1
Sports,496,116941,1
Cultural,1283,108414,1
Seminars,1006,66831,1
Cultural,1109,222123,1
Seminars,658,70210,1
Cultural,771,8005,0
Sports,472,14371,0
Sports,399,21010,1
Seminars,144,22828,1
Cultural,453,51754,1
Sports,478,11890,0
Sports,404,27381,1
Sports,460,72969,1
Sports,1189,6189,0
Seminars,931,134607,1
Seminars,922,112717,1
Cultural,337,64756,1
Cultural,559,2872,0
Sports,1319,231542,1
Cultural,1301,192785,1
Cultural,988,16822,0
Sports,861,44361,1
Sports,1376,131226,1
Seminars,105,15510,1
Cultural,743,24976,0
Seminars,1187,55136,0
Sports,281,50102,1
Cultural,1280,114895,1
Cultural,611,129717,1
Cultural,1241,88338,1
Cultural,1433,123392,1
Cultural,123,9992,1
Sports,1442,238253,1
Seminars,807,29599,0
Cultural,949,176053,1
Cultural,1460,106618,1
Seminars,1302,122862,1
Sports,210,40394,1
Sports,1094,52364,0
Seminars,1353,235608,1
Sports,405,65542,1
Sports,543,25632,0
Seminars,374,68125,1
Cultural,1320,16518,0
Seminars,713,42347,1
Cultural,1120,175542,1
Cultural,821,105329,1
Sports,1312,178384,1
Sports,801,173681,1
Cultural,512,60024,1
Seminars,411,75534,1
Seminars,444,52249,1
Sports,981,107087,1
Cultural,728,17486,0
Sports,1157,233699,1
Sports,1061,155250,1
Seminars,328,25354,1
Cultural,407,69886,1
Seminars,425,27909,1
Cultural,122,21966,1
Cultural,778,114005,1
Sports,376,11307,0
Seminars,128,27436,1
Seminars,543,131518,1
Seminars,1346,239657,1
Cultural,1170,223895,1
Sports,1011,18690,0
Sports,552,92897,1
Seminars,874,4427,0
Sports,1191,44285,0
Cultural,481,5652,0
Sports,284,23485,1
Seminars,822,165573,1
Sports,1074,211161,1
Cultural,371,9336,0
Sports,748,79200,1
Sports,310,55773,1
Seminars,251,28578,1
Sports,409,6272,0
Sports,464,81907,1
Seminars,647,32195,0
Cultural,1431,169133,1
Cultural,377,30580,1
Sports,818,115954,1
Seminars,926,68843,1
Seminars,803,129813,1
Cultural,329,4833,0
Sports,1405,106444,1
Sports,591,87280,1
Cultural,269,43835,1
Seminars,981,237821,1
Cultural,1440,8950,0
Cultural,1065,121677,1
Cultural,928,22564,0
Seminars,102,24595,1
Seminars,1087,186227,1
Cultural,643,100839,1
Seminars,1079,45218,0
Cultural,452,32972,1
Seminars,139,20968,1
Cultural,1124,171004,1
Cultural,1075,192683,1
Seminars,199,4135,0
Sports,339,44155,1
Seminars,505,53098,1
Cultural,942,206302,1
Sports,285,29326,1
Seminars,308,36195,1
Cultural,520,12078,0
Cultural,1270,157812,1
Seminars,883,177777,1
Seminars,1147,238661,1
Cultural,407,79295,1
Seminars,1355,66665,0
Sports,609,128935,1
Cultural,1430,114094,1
Cultural,973,100235,1
Seminars,1063,213211,1
Cultural,703,162203,1
Sports,280,18607,1
Seminars,1161,195032,1
Seminars,1098,210805,1
Seminars,1373,236180,1
Sports,554,12402,0
Seminars,425,68943,1
Sports,1242,71007,1
Seminars,1410,7259,0
Seminars,388,93240,1
Cultural,1340,136264,1
Sports,1268,57864,0
Sports,1025,191808,1
Cultural,1328,148902,1
Seminars,1285,142901,1
Cultural,692,12419,0
Cultural,1337,22384,0
Cultural,976,243448,1
Cultural,1299,164287,1
Seminars,967,141512,1
Sports,1170,226200,1
Seminars,886,81743,1
Cultural,1453,198137,1
Cultural,865,12677,0
Cultural,693,123058,1
Sports,1235,78773,1
Cultural,449,27269,1
Cultural,749,150203,1
Seminars,1447,141790,1
Sports,387,52418,1
Cultural,1274,206608,1
Cultural,1074,212030,1
Cultural,797,75439,1
Seminars,1489,184519,1
Seminars,364,60374,1
Sports,1417,224612,1
Sports,977,125147,1
Cultural,143,28725,1
Sports,1170,244503,1
Sports,1301,132220,1
Seminars,685,59674,1
Sports,810,115932,1
Sports,546,58427,1
Cultural,1211,77204,1
Sports,938,11376,0
Cultural,324,22809,1
Seminars,731,43807,1
Sports,348,81888,1
Seminars,362,31202,1
Seminars,993,74785,1
Sports,180,41974,1
Sports,1102,223400,1
Seminars,1365,156673,1
Seminars,1130,111712,1
Cultural,1089,99756,1
Cultural,859,22770,0
Seminars,1401,164628,1
Sports,590,133777,1
Sports,336,66796,1
Seminars,1322,181020,1
Sports,764,71616,1
Seminars,1084,16174,0
Seminars,709,115565,1
Sports,1106,145192,1
Cultural,657,131989,1
Cultural,1314,97589,1
Cultural,588,124149,1
Seminars,132,28973,1
Seminars,1144,74864,1
Sports,898,111376,1
Cultural,550,54683,1
Cultural,367,67809,1
Seminars,666,24527,0
Cultural,1000,75871,1
Cultural,1010,79297,1
Cultural,1288,243916,1
Seminars,1029,104800,1
Cultural,295,37565,1
Seminars,639,137014,1
Seminars,430,55957,1
Seminars,459,28774,1
Cultural,887,144165,1
Sports,628,13390,0
Sports,884,143421,1
Seminars,557,108536,1
Sports,845,72827,1
Cultural,1476,13561,0
